"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_ID";"SPICEPREFIX";
"1";"";"CONN_02POLAR_LOCK";"MOLEX-1X2_LOCK";"J12";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"PRT-09918";"";
"5";"";"CONN_04POLAR";"MOLEX-1X4";"J2, J6, J7, J8, J9";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-08186";"PRT-08231";"";
"4";"";"CONN_04X2";"2X4";"J1, J3, J4, J5";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"1";"";"CONN_083.5MM-8";"SCREWTERMINAL-3.5MM-8";"J10";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"5";"";"CPOL-US140CLH-1010";"ADAFRUIT_140CLH-1010";"C2, C3, C4, C5, C6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";
"1";"";"JACK-PLUG1";"SPC4078";"J11";"DC POWER JACK";"";"";"unknown";"unknown";"";"";"";
"3";"";"MSTBV2";"MSTBV2";"X1, X2, X3";"PHOENIX";"";"";"unknown";"unknown";"";"";"";
"1";"";"RNX7";"RN-8";"RN1";"RESISTOR NETWORK";"";"";"unknown";"unknown";"";"";"";
"1";"";"SPARKFUN-CAPACITORS_CAP0805";"SPARKFUN-CAPACITORS_0805";"C1";"Capacitor";"";"";"";"";"";"";"";
"2";"0.5";"R-EU_M0805";"M0805";"R1, R2";"RESISTOR, European symbol";"";"";"";"";"";"";"R";
"20";"220";"R-EU_M0805";"M0805";"R3, R5, R7, R9, R19, R21, R23, R25, R27, R29, R31, R33, R35, R37, R39, R41, R51, R53, R55, R57";"RESISTOR, European symbol";"";"";"";"";"";"";"R";
"1";"3k";"R-EU_M0805";"M0805";"R12";"RESISTOR, European symbol";"";"";"";"";"";"";"R";
"1";"4030D";"4030D";"SO14";"IC3";"Quad XOR";"";"";"";"";"";"";"";
"5";"680";"RN04";"RN-5";"RN2, RN3, RN4, RN5, RN6";"RESISTOR NETWORK";"";"";"unknown";"unknown";"";"";"";
"2";"6k";"R-EU_M0805";"M0805";"R4, R11";"RESISTOR, European symbol";"";"";"";"";"";"";"R";
"5";"74LS19D";"74LS19D";"SO14";"IC7, IC8, IC9, IC10, IC11";"Hex schmitt trigger INVERTER";"";"";"";"";"";"";"";
"1";"7805DT";"7805DT";"TO252";"IC4";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";
"1";"BEAGLEBONE_BLACK_CAPE";"BEAGLEBONE_BLACK_CAPE";"BEAGLEBONE_BLACK_CAPE";"PCB1";"";"";"";"";"";"";"";"";
"2";"L298";"L298";"MULTIWATT-15";"IC1, IC2";"DUAL FULL-BRIDGE DRIVER";"";"L298N";"1589425";"32M1527";"";"";"";
"1";"LM358D";"LM358D";"SO08";"IC6";"OP AMP also LM158; LM258; LM2904";"";"";"";"";"";"";"";
"1";"MAX6520";"MAX6520";"SOT23";"IC5";"1.2V Voltage Reference 50ppm/°C, SOT23, 3-Terminal";"MAXIM";"MAX6520EUR-T";"unknown";"02J4586";"";"";"";
"1";"MPU9220";"MPU9220";"MPU9250";"U$2";"";"";"";"";"";"";"";"";
"1";"RT33K012";"RT33K012";"RT-N/O16A5";"K1";"Power PCB Relay Inrush  SCHRACK";"";"RT33K012";"unknown";"48M7964";"";"";"";
"2";"STRAWSON_EAGLE_LIB_MOSFET-NCHANNEL";"STRAWSON_EAGLE_LIB_MOSFET-NCHANNEL";"STRAWSON_EAGLE_LIB_SO08-TIGHT";"Q5, Q6";"Common NMOSFET Parts";"";"";"";"";"";"";"";
"1";"STRAWSON_EAGLE_LIB_SERVO_HEADERS_8X";"STRAWSON_EAGLE_LIB_SERVO_HEADERS_8X";"STRAWSON_EAGLE_LIB_3X8_0.1"_HEADER";"U$4";"";"";"";"";"";"";"";"";
"5";"TLP283-4";"TLP283-4";"MINI-FLAT-16";"OPT_MISC, OPT_MOT1, OPT_MOT2, OPT_SERVO1, OPT_SERVO2";"TOSHIBA PHOTOCOUPLER GaAs IRED & PHOTO-TRANSISTOR";"";"";"unknown";"unknown";"";"";"";
"1";"WRA-YMD";"WRA-YMD";"WRA-YMD";"U$1";"";"";"";"";"";"";"";"";
"1";"XL6009";"XL6009";"XL6009";"U$5";"";"";"";"";"";"";"";"";
